input,cores,run1,run2,run3,run4,run5
15000,1,25.903921,26.122189,25.876321,25.893112,26.009843
15000,2,13.451912,13.419632,13.522893,13.483874,13.467654
15000,4,6.478321,6.532987,6.459314,6.489072,6.493128
15000,8,3.223084,3.267943,3.189274,3.241885,3.213748
15000,12,2.293245,1.064266,1.149533,1.077249,1.133791
15000,16,0.881833,1.399422,0.841977,0.776106,0.856930
15000,20,0.635597,0.701045,1.125232,0.784146,0.736131
15000,24,0.691058,0.605178,0.575939,1.025444,0.531636
15000,28,0.523835,0.502290,0.530758,0.566379,0.518649
15000,32,0.451996,0.456888,0.443904,0.440499,0.442812
15000,36,0.400047,0.397398,0.395150,0.394358,0.394691
15000,40,0.355883,0.359735,0.358727,0.366582,0.360702
15000,44,0.328346,0.345876,0.332883,0.326847,0.357576
15000,48,0.303494,0.319052,0.304464,0.315664,0.320933
15000,52,0.354382,0.283222,0.280309,0.289520,0.278374
15000,56,0.260109,0.325582,0.296008,0.340463,0.346837
15000,60,0.436299,0.254097,0.251339,0.253057,0.251624
15000,64,0.249548,0.239707,0.237740,0.236678,0.292238
15000,68,0.222114,0.229693,0.228542,0.230060,0.223863
15000,72,0.214437,0.213793,0.217043,0.228494,0.217231
15000,76,0.203256,0.413627,0.201848,0.213687,0.212854
15000,80,0.227739,0.209411,0.191170,0.191744,0.205449
15000,84,0.206295,0.197094,0.181765,0.245909,0.263686
15000,88,0.259610,0.175800,0.252570,0.251560,0.251723
15000,92,0.243742,0.240337,0.247126,0.245242,0.171724
15000,96,0.164411,0.165000,0.166359,0.161531,0.162645
15000,100,0.165059,0.228954,0.163284,0.324224,0.160364
15000,104,0.156225,0.156874,0.159886,0.154912,0.157165
15000,108,0.142987,0.142466,0.147142,0.144155,0.226838
15000,112,0.136235,0.140674,0.137521,0.139884,0.141006
15000,116,0.136666,0.135395,0.145519,0.135615,0.135529
15000,120,0.163517,0.148197,0.130528,0.131881,0.135623
15000,124,0.171219,0.129885,0.128755,0.127796,0.192481
15000,128,0.194759,0.130622,0.133271,0.130245,0.124765
15000,132,0.123762,0.120923,0.122139,0.126535,0.128580
15000,136,0.123109,0.126297,0.119541,0.119482,0.123312
15000,140,0.121739,0.122065,0.120644,0.120460,0.128447
15000,144,0.117667,0.117157,0.126661,0.128355,0.119831
15000,148,0.124544,0.126461,0.124538,0.114226,0.110469
15000,152,0.111419,0.108698,0.107615,0.107563,0.113566
15000,156,0.113018,0.116826,0.114473,0.118605,0.109339
15000,160,0.118013,0.117252,0.119862,0.109328,0.107727
15000,164,0.141968,0.111793,0.113191,0.111976,0.113353
15000,168,0.104688,0.104647,0.106161,0.109402,0.113456
15000,172,0.111622,0.103907,0.102065,0.105800,0.101669
15000,176,0.098389,0.098307,0.099591,0.105427,0.101440
15000,180,0.105578,0.107781,0.120717,0.107037,0.102844
15000,184,0.123473,0.102398,0.095297,0.103327,0.101971
15000,188,0.090402,0.102036,0.103114,0.101244,0.101736
15000,192,0.103876,0.104892,0.103422,0.104424,0.104155